,menu_name,menu_type,menu_id,is_menu_updated
0,AMD&amp;MSI 이벤트,B,652,True
1,제 6회 고멤 오디션 접수,B,650,True
2,"우왁굳, 왁타버스(고멤) 부문",B,648,True
3,이세계아이돌 부문,B,647,False
4,예열 연말공모전,B,640,False
5,오뱅계르크 구매 인증 리뷰,B,637,False
6,형 이거 봤어?,B,626,True
7,팬치만 받을수있는 할인,B,413,False
8,왁물원 광고 이야기하기,B,421,True
9,■ 카페 공지사항,B,24,False
10,▦ 마크 공지사항,B,358,True
11,▣ 이세돌 공지사항,B,346,False
12,이세돌의 공지사항,B,345,True
13,🥰 이세돌┃자유게시판,B,327,True
14,이세돌┃NEWS,B,347,True
15,이세돌 사진관,B,606,True
16,이세돌┃노래 근황,B,397,True
17,이세돌┃팬영상,B,361,True
18,이세돌┃작업후기,B,467,True
19,이세돌┃시참후기,B,610,True
20,이세돌┃노래 COVER,B,409,True
21,🎬 이세돌┃핫클립,B,331,True
22,🎨 이세돌┃팬아트,B,344,True
23,이세돌 썸네일 도와주기,B,532,False
24,이세돌 서브채널에 내꺼 묻히기,B,634,True
25,이세돌 오늘의 유튭각 ,B,349,False
26,└ 이세돌 엄마,B,350,True
27,6명이 다 했어요,B,367,True
28,이세돌 자막 제작소,B,394,False
29,컨텐츠용 게시판,B,404,True
30,컨텐츠용 그림판,B,365,True
31,이세돌 예능 기획 갈취당하기,B,614,True
32,왁물원 인력사무소,B,148,True
33,VR챗 감독등록소,B,513,False
34,VR챗 배우등록소,B,515,True
35,VR챗 제작등록소,B,516,True
36,통합 BEST 팬아트 게시판,B,551,False
37,금손 일러레의 방,B,552,False
38,웹툰┃BEST,B,501,False
39,BEST 웹툰 작가의 방,B,548,False
40,웹툰┃일반 (왁타버스),B,380,True
41,짤툰 + 웹툰 유망주 ,B,500,False
42,왁타버스 불법 AI 팬아트,B,604,True
43,왁타버스 불법 굿즈,B,506,True
44,왁타버스 불법 배경,B,504,True
45,🎪 고멤 놀이터,B,362,True
46,🤡 고멤 게시판,B,300,True
47,고멤┃팬영상 게시판,B,511,True
48,고멤┃핫클립 게시판,B,489,True
49,고멤┃작업 후기,B,530,True
50,고멤┃팬아트,B,299,True
51,나 도 강 사 다,B,438,True
52,팬게임 제작소,B,436,True
53,팬게임 후기 &amp; 의견,B,272,True
54,VR챗 아바타 제작소,B,435,True
