,menu_name,menu_type,menu_id,is_menu_updated
0,카페 PC버전 화면 보기&gt; ,L,2262,False
1,네이버 쪽지함&gt;,L,2263,False
2,★중고나라 앱 바로가기★,L,2327,False
3,★카페&gt;앱 실시간 연동신청,L,2346,False
4,놓치지마!중나앱 꿀팁,B,2329,False
5,시즌권/리프트권,B,1537,True
6,스키/보드/의류,B,435,True
7,"포켓몬, 넌 내 거야!",B,2336,True
8,[공지]  바코드 복원 &amp; 탈취 사기 주의!,L,2337,False
9,공지사항,B,1256,False
10,이용정책,B,1805,False
11,카페 전용 고객센터 ,L,2223,False
12,중고나라 광고 문의하기,L,2293,False
13,실시간 사기 제보,M,2288,True
14,※ 사기 제보 전 필독!!,L,2287,False
15,통합 파트너사 신청 ,L,2269,False
16,중고폰 파트너사 신청,L,2296,False
17,식품 파트너사 신청,L,2297,False
18,중고나라 무료나눔,B,96,True
19,어려운 이웃 사연,B,237,True
20,📱IT 기기 소통방,B,155,True
21,👟스니커즈&amp;패션 소통방,B,2378,True
22,긍정거래 후기,B,122,True
23,불량거래 후기,B,57,True
24,회원 사진  올리기,B,153,True
25,물물교환,B,37,True
26,자유 주제 소통방,B,47,True
27,중고나라 위키,B,2353,False
28,"🛵내폰,오토바이,자전거 간편 판매!",L,2355,False
29,내 폰 팔기 신청,L,2304,False
30,내 오토바이 팔기 신청,L,2278,False
31,내 자전거 팔기 신청,L,2351,False
32,여성의류 쉐어링 신청,L,2354,False
33,화물 배송 신청,L,1997,False
34,편의점 택배 신청,L,2009,False
35,중고나라 공식 블로그 ,L,2024,False
36,슬기로운 중나생활정보,B,2067,False
37,할인특가,B,2076,False
38,재고 급처분,B,1892,False
39,천원샵&amp;특가존,B,1020,False
40,리스차/렌트카 팔때 승계,B,2389,True
41,신차 장기렌트/리스 초특가,B,2388,True
42,앵글선반 파렛트랙 초특가,B,2392,True
43,보험료 반값 무료신청,L,2277,False
44,아동도서 가격비교,L,1986,False
45,동부회원권거래소 부산,B,2175,True
46,TV+인터넷 최저가 할인,L,2164,False
47,인터넷가입 인증협력사,B,2126,True
48,최저가골프/콘도회원권,B,2101,True
49,"라식,라섹 게시판",B,1215,True
50,골프/콘도회원권 급매,B,1989,True
51,쇼핑케어+편의점쿠폰,L,2375,False
52,이벤트,B,1257,False
53,당첨자발표/종료,B,1534,False
54,이벤트 신청하기,L,2139,False
55,(SKT)알뜰폰요금제가입,L,2191,False
56,내폰 시세 확인/팔기,L,2228,False
57,추천 중고폰 안전결제,B,425,True
58,추천 중고폰(삼성/애플),B,424,True
59,휴대폰(삼성/애플/기타),B,339,True
60,태블릿(삼성/애플/기타),B,749,True
61,휴대폰/태블릿 주변기기,B,427,True
62,조던&amp;나이키,B,2171,True
63,이지부스트&amp;아디다스,B,2172,True
64,기타 한정판,B,2173,True
65,컴퓨터 추천상품,B,2383,True
66,노트북,B,334,True
67,데스크탑,B,382,True
68,모니터 ,B,383,True
69,PC 주요부품,B,385,True
70,PC 저장장치,B,386,True
71,PC 주변기기 &amp; 부품,B,387,True
72,▶컴퓨터 파트너 신청,L,2364,False
73,출산/임부용품,B,333,True
74,유아/아동의류,B,376,True
75,유아/아동용품,B,378,True
76,■ 인증딜러 신청,L,2069,False
77,현대/기아,B,1322,True
78,쉐보레/르노(삼성)/쌍용,B,1326,True
79,벤츠/BMW/아우디/미니,B,1327,True
80,기타수입차/전기차,B,1328,True
81,국산차(개인/인증),B,2177,True
82,수입차(개인/인증),B,2181,True
83,▶자동차 부품명/품번 찾기,L,2393,False
84,자동차 추천상품,B,2083,True
85,자동차 음향기기,B,476,True
86,자동차 영상기기,B,475,True
87,휠/타이어/캐리어,B,474,True
88,기타/차량부품,B,473,True
89,▶자동차용품 파트너 신청,L,2365,False
90,디지털/가전 추천상품,B,2381,True
91,계절가전(에어컨 등),B,2054,True
92,생활가전(세탁기 등),B,452,True
93,주방가전(냉장고 등),B,451,True
94,"영상가전(TV,셋톱박스 등)",B,336,True
95,음향가전(홈시어터 등),B,411,True
96,소형음향기기(이어폰 등),B,412,True
97,미용가전(면도기 등),B,2055,True
98,▶디지털/가전 파트너 신청,L,2366,False
99,산업용품 추천상품,B,2084,True
100,드릴/전동공구,B,346,True
101,에어/유압공구,B,489,True
102,측정/계측/레벨,B,488,True
103,공작기계/용접/가스,B,487,True
104,공구/공구함,B,486,True
105,산업용품/자재,B,485,True
106,농기계/농업용공구,B,889,True
107,▶산업용품 파트너 신청,L,2367,False
108,상품권 추천상품,B,2018,True
109,지류 상품권/쿠폰,B,448,True
110,모바일 상품권/쿠폰,B,1156,True
111,식음료 상품권/쿠폰,B,1866,True
112,영화/연극/공연,B,1285,True
113,스포츠/기타 티켓,B,1286,True
114,▶상품권 파트너 신청,L,2368,False
115,텐트/타프/매트,B,530,True
116,캠핑 테이블/의자/가구,B,2103,True
117,캠핑카/카라반/트레일러,B,2104,True
118,기타 캠핑용품,B,2105,True
119,▶캠핑 파트너 신청,L,2369,False
120,미용 추천상품 ,B,2232,True
121,여성 기초화장품,B,332,True
122,여성 색조화장품,B,371,True
123,남성화장품,B,370,True
124,향수,B,372,True
125,헤어/바디/스킨케어,B,373,True
126,기타 미용용품,B,375,True
127,가구 추천상품,B,2382,True
128,이케아(IKEA),B,1662,True
129,침실가구,B,344,True
130,거실가구,B,470,True
131,주방가구,B,471,True
132,서재/사무용품가구,B,469,True
133,인테리어소품,B,468,True
134,▶가구 파트너 신청,L,2370,False
135,순금/골드바/실버바,B,1294,True
136,여성 악세서리,B,367,True
137,남성 악세서리,B,1096,True
138,기타 악세서리,B,1295,True
139,전기자전거 할인 판매,L,2360,False
140,[라브인증] 로드자전거,B,2332,False
141,[라브인증] MTB/그래블,B,2333,False
142,MTB/사이클,B,432,True
143,미니벨로,B,433,True
144,픽시/하이브리드,B,1473,True
145,전기/특수자전거,B,1474,True
146,의류/용품/부품/기타,B,1475,True
147,휠/킥보드,B,1990,True
148,닌텐도/WII,B,338,True
149,플레이스테이션,B,419,True
150,XBOX,B,420,True
151,게임 소프트웨어 ,B,421,True
152,기타 게임용품,B,422,True
153,오토바이 추천상품,B,2386,True
154,오토바이 125CC초과,B,479,True
155,오토바이 125CC이하,B,478,True
156,오토바이(라이더)용품,B,477,True
157,▶오토바이 파트너 신청,L,2371,False
158,미술용품도구,B,457,True
159,악기,B,751,True
160,서양/동양/현대작품,B,342,True
161,골동품/기타수집,B,455,True
162,LP/CD/DVD 음반,B,414,True
163,골프 추천상품,B,2058,True
164,드라이버/우드/유틸리티,B,1432,True
165,아이언/웨지/퍼터,B,1434,True
166,골프채 풀세트,B,1436,True
167,골프백,B,2349,True
168,골프웨어/용품/기타,B,1437,True
169,▶골프 파트너 신청,L,2372,False
170,명품 가방,B,782,True
171,명품 여성의류,B,1007,True
172,명품 여성신발,B,1009,True
173,명품 남성의류,B,1008,True
174,명품 남성신발,B,1010,True
175,명품 시계,B,1011,True
176,명품 기타 패션잡화,B,787,True
177,명품 쥬얼리/악세서리,B,785,True
178,명품 유아/아동,B,791,True
179,▶명품 파트너 신청,L,2373,False
180,여성 의류,B,356,True
181,여성 신발,B,331,True
182,여성 가방/잡화,B,364,True
183,남성 의류,B,358,True
184,남성 신발,B,363,True
185,남성 가방/잡화,B,1094,True
186,학생교복,B,360,True
187,파티/잠옷/작업복등,B,361,True
188,여행/여가 추천상품,B,2230,True
189,여행/숙박 티켓,B,754,True
190,여행가방/캐리어/용품,B,1477,True
191,등산용품,B,436,True
192,낚시용품,B,439,True
193,▶여행/여가활동 파트너 신청,L,2374,False
194,DSLR ,B,335,True
195,미러리스,B,757,True
196,일반디카/하이엔드,B,395,True
197,필름/중형카메라,B,396,True
198,렌즈/필터/컨버터,B,397,True
199,삼각대/플래시/조명,B,398,True
200,메모리/배터리/가방,B,400,True
201,기타 카메라악세사리,B,401,True
202,도서 l 아동/어린이,B,461,True
203,도서 l 소설/만화책,B,460,True
204,도서 l 학습/교육,B,343,True
205,도서 l  문학/실용,B,464,True
206,도서 l  인문/교양,B,459,True
207,남자 아이돌 굿즈,B,1456,True
208,여자 아이돌 굿즈 ,B,1457,True
209,기타 연예인 굿즈,B,1523,True
210,축구용품/의류,B,340,True
211,야구용품/의류,B,430,True
212,농구용품/의류,B,431,True
213,요가/운동용품,B,374,True
214,인라인/스케이트보드,B,434,True
215,헬스/수영/용품/의류,B,440,True
216,기타스포츠/레저용품,B,441,True
217,욕실/주방용품,B,450,True
218,"DIY/리폼 용품,공구",B,445,True
219,문구/사무용품,B,444,True
220,기타 생활용품,B,443,True
221,강아지/고양이 용품,B,446,True
222,기타 동물용품,B,2275,True
223,건프라/프라모델,B,447,True
224,피규어/핫토이/인형,B,1511,True
225,레고/브릭/블럭,B,1512,True
226,굿즈/보드게임,B,1155,True
227,드론/RC/무선조종,B,1513,True
228, M 수입명품,B,1789,True
229, M 패션의류,B,1790,True
230,M 패션잡화,B,1791,True
231,M 뷰티,B,1792,True
232,M 출산/유아동/완구,B,1793,True
233,M 모바일/태블릿 ,B,1794,True
234,M 가전제품 ,B,1795,True
235, M 노트북/데스크탑/카메라,B,1796,True
236,M 가구/인테리어/리빙/생활,B,1797,True
237,M 게임/취미/스포츠/레저,B,1798,True
238, M 도서/음반/문구,B,1799,True
239,우리동네 강남구,B,1731,True
240,우리동네 송파구,B,1732,True
241,우리동네 서초구,B,1730,True
242,우리동네 영등포구,B,1727,True
243,우리동네 관악구,B,1729,True
244,우리동네 양천구,B,1723,True
245,우리동네 성북구,B,1716,True
246,우리동네 금천구,B,1726,True
247,우리동네 종로구,B,1709,True
248,우리동네 중구,B,1710,True
249,우리동네 용산구,B,1711,True
250,우리동네 성동구,B,1712,True
251,우리동네 광진구,B,1713,True
252,우리동네 동대문구,B,1714,True
253,우리동네 중랑구,B,1715,True
254,우리동네 강북구,B,1717,True
255,우리동네 도봉구,B,1718,True
256,우리동네 노원구,B,1719,True
257,우리동네 은평구,B,1720,True
258,우리동네 서대문구,B,1721,True
259,우리동네 마포구,B,1722,True
260,우리동네 강서구,B,1724,True
261,우리동네 구로구,B,1725,True
262,우리동네 동작구,B,1728,True
263,우리동네 강동구,B,1733,True
264,우리동네 김포/고양/일산/파주,B,1740,True
265,우리동네 성남/분당/광주,B,1741,True
266,우리동네 과천/안양/의왕/군포,B,1742,True
267,우리동네 광명/부천,B,1743,True
268,우리동네 시흥/안산,B,1744,True
269,우리동네 남양주/구리/하남,B,1745,True
270,우리동네 수원/화성/평택,B,1746,True
271,우리동네 양주/의정부/동두천,B,1747,True
272,우리동네 용인/오산,B,1748,True
273,우리동네 경기북부,B,1749,True
274,우리동네 경기남부,B,1750,True
275,우리동네 인천,B,1751,True
276,우리동네 부산,B,1752,True
277,우리동네 울산,B,1753,True
278,우리동네 경남,B,1754,True
279,우리동네 대구,B,1755,True
280,우리동네 경북,B,1756,True
281,우리동네 대전,B,1757,True
282,우리동네 세종,B,1758,True
283,우리동네 충북,B,1759,True
284,우리동네 충남,B,1760,True
285,우리동네 광주,B,1761,True
286,우리동네 전북,B,1762,True
287,우리동네 전남,B,1763,True
288,우리동네 강원지역,B,1764,True
289,우리동네 제주지역,B,1765,True
290,부동산 매물,B,1688,True
291,문의양식,B,2078,False
292,모바일,B,2061,False
293,컴퓨터,B,2062,False
294,디지털/가전,B,2063,False
295,양식,B,2145,False
296,🎁스팸 마켓,B,2359,True
297,기아,B,1323,True
298,쉐보레/대우,B,1324,True
299,라이트바겐 신차바이크,B,2290,False
300,라이트바겐 진단바이크,B,2291,False
301,푸드마켓,B,2286,False
302,[라브인증] 전기자전거,B,2334,False
303,가입인사,M,238,False
304,앱 가입인사,B,2215,True
305,[구]사기글 신고하기,B,169,False
306,[구]불량글 신고하기,B,168,False
307,[구]나눔글 신고하기 ,B,142,False
308,1월 선착순 무배샵#,B,2358,False
309,중나 모바일 파트너사 소개 ,B,2021,False
310,[종료]가전기획 시그니처렌탈,B,2308,False
311,[폐쇄]남성쇼핑 특가,B,1555,False
312,[종료]치아교정 게시판,B,1600,False
313,[종료]탈모상담 게시판,B,1560,False
314,[폐쇄]무료체험 이벤트 ,B,154,False
315,[폐쇄]알뜰정보 이벤트,B,508,False
316,[폐쇄]무료체험 후기,B,877,False
317,[예정]rethink,B,1856,False
318,[임시]순삭대기,B,1646,False
319,▶골프특가공구존,B,1498,False
320,[폐쇄]중고나라 핫이슈,B,1528,False
321,[폐쇄]종합법률상담 대정,B,1647,False
322,[종료]최저가 패밀리세일,B,1627,False
323,폐쇄(스피드공실),B,1123,False
324,(종료)▶쿨거래 법률상식,B,1541,False
325,[종료]가구/리빙 전시공구특가,B,1783,False
326,[폐쇄]최대94%할인  ,B,1785,False
327,(HOT) 인! 싸! 게! 임!,B,1870,False
328,(HOT) 인! 싸! 게! 임!,B,1872,False
329,종료통합광고,B,1863,False
330,(종료)1억연봉!무점포창업,B,1878,False
331,"백내장,노안 게시판",B,1566,False
332,(종료)고수의 주식투자,B,2163,False
333,폐쇄-광고,B,1915,False
334,[종료],B,1505,False
335,[종료],B,1574,False
336,[폐쇄],B,1778,False
337,[폐쇄],B,1772,False
338,종료,B,1852,False
339,종료,B,1919,False
340,[폐쇄]가구.리빙.명품특가,B,1914,False
341,[폐쇄]자격증 100% 무료교육,B,1887,False
342,홍보,B,2032,False
343,성형상담 게시판[폐쇄],B,1913,False
344,폐쇄통합1,B,1110,False
345,폐쇄통합4,B,292,False
346,폐쇄통합6,B,115,False
347,폐쇄통합8,B,116,False
348,폐쇄통합10,B,176,False
349,폐쇄통합11,B,117,False
350,폐쇄통합16,B,21,False
351,폐쇄통합22,B,74,False
352,폐쇄통합23,B,95,False
353,폐쇄통합25,B,738,False
354,폐쇄통합26,B,1160,False
355,폐쇄통합34,B,734,False
356,폐쇄통합35,B,726,False
357,폐쇄통합36,B,735,False
358,폐쇄통합37,B,737,False
359,기타통신사/피처폰,B,426,False
360,폐쇄상품,B,1536,False
361,미사용-스탭전용,M,304,False
362,폐쇄-경고 게시판,M,348,False
363,폐쇄-통합게시판,B,736,False
364,폐쇄-문답게시판,B,1115,False
365,폐쇄-상품게시판,B,1116,False
366,레드카드,B,1571,False
367,루이비통/샤넬(폐쇄),B,353,False
368,펜디/버버리(폐쇄),B,784,False
369,페라가모/코치(폐쇄),B,789,False
370,돌체/디퀘/디젤(폐쇄),B,1006,False
371,톰브라운/발망(폐쇄),B,786,False
372,케이뱅크 이벤트,B,2141,False
373,카메라 자유게시판(폐쇄),B,200,False
374,캠핑 자유게시판(폐쇄),B,2107,False
375,100일 A/S보장 중고폰,B,2134,False
376,모바일가맹점 (해지지점),B,2176,False
377,중나송파카페 공유전용(폐쇄),B,2108,False
378,해외직배송 핫딜(폐쇄),B,2040,False
379,★우리동네 가게자랑★,B,2212,False
380,국산차 덕후 게시판,B,2217,False
381,수입차 덕후 게시판,B,2218,False
382,★리셀 안전결제전용(폐쇄예정),B,2205,False
383,VGA / SOUND(통합예정),B,389,False
384,기타부품/소프트웨어(통합예정),B,393,False
385,사무용품 복사기팩스(통합예정),B,341,False
386,인형/장난감(통합예정),B,379,False
387,유아책/교육(통합예정),B,380,False
388,벤츠(통합예정),B,1420,False
389,아우디(통합예정),B,1421,False
390,기아(통합예정),B,2178,False
391,쉐보레/GM대우(통합예정),B,2179,False
392,르노삼성/쌍용(통합예정),B,2180,False
393,★상품권 안전결제전용(폐쇄예정),B,2150,False
394,★영화/연극/공연 티켓 안전결제전용(폐쇄,B,2198,False
395,영화/연극 티켓(통합예정),B,1284,False
396,★ 캠핑 안전결제전용(폐쇄예정),B,2136,False
397,캠핑후기 및 자랑하기(폐쇄예정),B,2106,False
398,침구/커튼/패브릭(통합예정),B,759,False
399,★주얼리 안전결제전용(폐쇄예정),B,2152,False
400,★자전거 안전결제전용(폐쇄예정),B,2138,False
401,미술용품도구(통합예정),B,456,False
402,우드/유틸리티(통합예정),B,1433,False
403,웨지/퍼터(통합예정),B,1435,False
404,명품 지갑/벨트(통합예정),B,2132,False
405,명품 선글라스/안경(통합예정),B,2133,False
406,여성하의(통합예정),B,357,False
407,여성 지갑/벨트/시계 (통합예정),B,365,False
408,여성 안경/선글라스 (통합예정),B,366,False
409,여성 기타 패션잡화  (통합예정),B,368,False
410,★여성의류/잡화 안전결제전용(폐쇄),B,2203,False
411,★남성의류/잡화 안전결제전용(폐쇄예정),B,2204,False
412,남성하의(통합예정),B,359,False
413,남성 가방/모자/장갑(통합예정),B,1093,False
414,남성 안경/선글라스 (통합예정),B,1095,False
415,남성 기타 패션잡화 (통합예정),B,1097,False
416,★기타의류 안전결제전용(폐쇄예정),B,2197,False
417,★여행/여가 안전결제전용(폐쇄예정),B,2155,False
418,★카메라 안전결제전용(폐쇄예정),B,2162,False
419,★도서 안전결제전용(폐쇄예정),B,2195,False
420,[도서]문학/과학/경영(통합예정),B,466,False
421,[도서]월간/계간/잡지 (통합예정),B,465,False
422,[도서]예술/디자인 (통합예정),B,463,False
423,[도서]인터넷/컴퓨터(통합예정),B,462,False
424,★스타 굿즈 안전결제전용(폐쇄예정),B,2199,False
425,남자 아이돌 포토카드/앨범 교환(통합예정),B,1521,False
426,여자 아이돌 포토카드/앨범 교환(통합예정),B,1522,False
427,★스포츠/레저 안전결제전용(폐쇄예정),B,2200,False
428,★생활용품 안전결제전용(폐쇄예정),B,2201,False
429,[부동산]강남&middot;서초&middot;강동&middot;송파(폐쇄),B,1678,False
430,[부동산]금천&middot;구로&middot;강서&middot;양천 (폐쇄),B,1680,False
431,[부동산]마포&middot;은평&middot;서대문구 (폐쇄),B,1681,False
432,[부동산]중구&middot;종로&middot;동대문구 (폐쇄),B,1682,False
433,[부동산]성북&middot;성동&middot;광진&middot;용산 (폐쇄),B,1683,False
434,[부동산]중랑&middot;강북&middot;노원&middot;도봉 (폐쇄),B,1684,False
435,[부동산]동작&middot;관악&middot;영등포(폐쇄),B,1679,False
436,[부동산]경기(남부지역) (폐쇄),B,1685,False
437,[부동산]경기(북부지역) (폐쇄),B,1702,False
438,[부동산]인천광역시 (폐쇄),B,1686,False
439,[부동산]충청도&middot;세종(폐쇄),B,1687,False
440,[부동산]전라남도&middot;전라북도(폐쇄),B,1689,False
441,[부동산]강원도&middot;제주도&middot;기타 (폐쇄),B,1690,False
442,★골프 안전결제전용(폐쇄예정),B,2149,False
443,★키덜트 안전결제전용(폐쇄예정),B,2202,False
444,매직점프 점수인증,B,2282,False
445,잡았다 요놈!,B,2160,False
446,사기예방법,B,1996,False
447,위키 테스트(자전거),B,2339,False
448,위키 테스트(게임),B,2340,False
449,위키 테스트(스마트폰),B,2341,False
450,위키 테스트(명품),B,2342,False
451,위키 테스트(모형/완구),B,2343,False
452, ★중고폰 슈퍼핫딜 (폐쇄),B,2348,False
453,★컴퓨터 안전결제,B,2137,False
454,★게임 안전결제,B,2154,False
455,★출산/육아 안전결제,B,2196,False
456,★오토바이 안전결제,B,2156,False
457,★명품 안전결제,B,2206,False
458,★미술/음악 안전결제,B,2194,False
459,★미용 안전결제,B,2153,False
460,★산업용품 안전결제,B,2157,False
461,★자동차용품 안전결제,B,2147,False
462,디지털/가전 추천상품,B,2056,False
463,가구 추천상품,B,2127,False
464,컴퓨터 추천상품,B,2031,False
465,★디지털/가전 안전결제,B,2148,False
466,★가구 안전결제,B,2151,False
467,우주최강 초특가 핫딜,B,2376,False
468,코너마켓(공용),B,2314,False
469,코너마켓(남아),B,2315,False
470,코너마켓(여아),B,2316,False
471,클로젯셰어(상의/하의),B,2319,False
472,클로젯셰어(원피스),B,2320,False
473,클로젯셰어(아우터),B,2321,False
474,앵글선반 파렛트랙 초특가,B,2087,False
475,앵글선반 파렛트랙 초특가,B,2391,False
476,할인특가 신청하기,L,2068,False
477,먹을거리 무료나눔,B,300,True
478,손글씨/이미지나눔,B,167,True
479,중나 매거진,B,2295,False
