,article_id,article_title,article_writer,article_is_open,article_view,article_like,article_comment,article_datetime
0,9389475,우왁굳 GTA 탈북 3 댓글 근황ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,aty0128,True,193,4,6,2023-01-17 22:57:01
1,9389377,형 탈북 편집자님 마지막 글에 달렸던 예언댓글(?) 봤어? ㅋㅋㅋㅋㅋㅋㅋ,58698,True,141,0,0,2023-01-17 22:51:27
2,9389231,11왁굳 레전드 리액션 보셨나요?,jongsu3908,True,24,0,0,2023-01-17 22:46:09
3,9389133,형 진짜 탈북도 3년 안걸린다고 한게 4년전이야,swbaek07,True,53,0,0,2023-01-17 22:43:19
4,9389086,탈북때는 뢴트님도 없었대 ㅋㅋㅋㅋㅋㅋㅋ,terabite8588,True,196,2,3,2023-01-17 22:42:07
5,9389070,형 리뷰고멤님 융터르 애니평가보고 놀라는거 봤어?,jacob5654,True,53,3,0,2023-01-17 22:41:42
6,9389053,탈북 밈 가장 최근 글,osm10998,True,126,2,2,2023-01-17 22:41:12
7,9389026,형 탈북 편집 원하는사람 올해 1월에도 있는거 봤어?,pjm11909,True,54,4,0,2023-01-17 22:40:17
8,9389023,형 탈북 밈 10일 전까지만해도 쓰이고있었던거 봤어?,horo2007,True,68,2,0,2023-01-17 22:40:13
9,9389006,형 11일 전에도 탈북 언급 있었어,baeseojin0517,True,104,4,3,2023-01-17 22:39:50
